textid,anger,disgust,fear,joy,sad,surprise
165,0.12895,0.130247,0.480755,0.138225,0.121823,0
166,0.097649,0,0.224761,0.465452,0.062071,0.150067
167,0.092092,0,0.232621,0.253024,0.209539,0.212723
168,0.081083,0.024047,0.089368,0,0.602051,0.203452
169,0.110467,0,0.263972,0.150389,0.469107,0.006065
170,0.002387,0,0.090151,0.734188,0.074249,0.099024
171,0.084396,0,0.350353,0.386094,0.114152,0.065005
172,0.000273,0,0.006415,0.544809,0.00134,0.447163
173,0.118008,0,0.203006,0.158369,0.302621,0.217996
174,0.006635,0,0.118354,0.466341,0.086972,0.321698
175,0.098909,0.056624,0.320922,0,0.44172,0.081825
176,0.041905,0,0.261287,0.1369,0.488538,0.071371
177,0.115273,0.080701,0.455582,0,0.318985,0.029458
178,0.273507,0.031213,0.562547,0.029368,0,0.103365
179,0.000071,0,0.00022,0.652421,0.000243,0.347046
180,0,0.015574,0.170256,0.121721,0.013462,0.678987
181,0.056282,0,0.509019,0.100323,0.251461,0.082915
182,0.04728,0,0.05506,0.0721,0.280349,0.54521
183,0.031558,0,0.108006,0.270103,0.38058,0.209753
184,0.05906,0,0.192887,0.27679,0.216558,0.254706
185,0.003526,0,0.032422,0.187795,0.474752,0.301505
186,0.198435,0.2428,0.191376,0,0.197429,0.16996
187,0.000008,0,0.000024,0.652154,0.000026,0.347788
188,0.05906,0,0.192887,0.27679,0.216558,0.254706
189,0.000029,0,0.011559,0.617799,0.007676,0.362936
190,0.05906,0,0.192887,0.27679,0.216558,0.254706
191,0.013944,0,0.256842,0.000252,0.617731,0.111231
192,0.461934,0,0.09387,0.18965,0.070963,0.183583
193,0,0.002153,0.098547,0.615202,0.086428,0.19767
194,0,0.032302,0.286236,0.175084,0.131811,0.374568
195,0.06438,0,0.231427,0.532479,0.052097,0.119618
196,0.168549,0.097045,0.10757,0,0.291489,0.335346
197,0.076589,0,0.453543,0.008261,0.404563,0.057044
198,0.026429,0,0.140664,0.281745,0.178254,0.372908
199,0.147498,0.057894,0.603552,0,0.155378,0.035679
200,0.189987,0.117985,0.144961,0,0.240492,0.306575
201,0.001171,0,0.021889,0.442278,0.057779,0.476884
202,0.021448,0,0.216873,0.105025,0.238943,0.41771
203,0.120306,0,0.248422,0.245191,0.192395,0.193686
204,0,0.050132,0.122675,0.035976,0.090492,0.700725
205,0.013753,0,0.117213,0.549971,0.146965,0.172098
206,0,0.016435,0.05314,0.311668,0.23669,0.382067
207,0.147076,0,0.675851,0.061597,0.074011,0.041464
208,0.141705,0.00241,0.017856,0.620101,0,0.217928
209,0.009673,0,0.060973,0.654509,0.167811,0.107034
210,0.238237,0,0.39448,0.150418,0.126107,0.090759
211,0.290001,0.243484,0.202595,0,0.259938,0.003983
212,0.05906,0,0.192887,0.27679,0.216558,0.254706
213,0.079777,0,0.635909,0.047449,0.170151,0.066714
214,0.190065,0.211675,0.116796,0.015941,0.465524,0
215,0.020052,0,0.056436,0.599168,0.17737,0.146974
216,0.033102,0.010767,0,0.366436,0.1169,0.472796
217,0.009661,0,0.174578,0.279483,0.246014,0.290264
218,0,0.176362,0.000006,0.302952,0.033155,0.487526
219,0.288032,0.129099,0.200689,0,0.307071,0.075108
220,0.023985,0,0.309783,0.379565,0.180394,0.106273
221,0.012918,0.002228,0,0.698288,0.098233,0.188333
222,0.000111,0,0.000345,0.958282,0.000381,0.040881
223,0.001454,0,0.165085,0.209415,0.08625,0.537796
224,0.069166,0,0.031237,0.290466,0.275849,0.333281
225,0.005962,0.022927,0.619941,0,0.279516,0.071655
226,0.564051,0.016211,0,0.055314,0.309641,0.054784
227,0.369034,0.052192,0,0.396291,0.171373,0.01111
228,0,0.01386,0.57322,0.014581,0.027971,0.370369
229,0.013371,0,0.0104,0.804947,0.004688,0.166594
230,0.000016,0,0.030845,0.092351,0.553707,0.323081
231,0.024698,0,0.279209,0.291884,0.156326,0.247883
232,0.051271,0,0.14999,0.360632,0.152319,0.285788
233,0.029974,0,0.272979,0.319105,0.051557,0.326384
234,0.05906,0,0.192887,0.27679,0.216558,0.254706
235,0.195873,0.041382,0.467574,0,0.243703,0.051468
236,0.177559,0,0.106769,0.298174,0.111886,0.305612
237,0.261449,0.087061,0.197757,0,0.255768,0.197965
238,0.036901,0.029158,0.362967,0,0.467883,0.103092
239,0.05906,0,0.192887,0.27679,0.216558,0.254706
240,0.214767,0.31108,0.118508,0,0.133333,0.222313
241,0.055172,0,0.009908,0.10777,0.161575,0.665574
242,0.022362,0,0.014798,0.712703,0.060821,0.189317
243,0.388586,0,0.237657,0.229905,0.138772,0.005079
244,0.054143,0,0.170358,0.319001,0.233036,0.223462
245,0.153985,0.242366,0.313711,0,0.165657,0.124281
246,0.000148,0,0.000484,0.420738,0.000544,0.578086
247,0.000026,0,0.003901,0.873127,0.011531,0.111415
248,0.102922,0,0.031201,0.103699,0.172954,0.589223
249,0.058206,0.066406,0,0.610076,0.000054,0.265258
250,0.075747,0,0.06472,0.413823,0.213307,0.232403
251,0.152619,0.015491,0.253163,0,0.380023,0.198705
252,0.00779,0,0.331323,0.29027,0.216306,0.154311
253,0,0.13057,0.039051,0.035295,0.553658,0.241426
254,0.013242,0,0.083993,0.568277,0.059811,0.274677
255,0.168323,0.007183,0,0.483216,0.141115,0.200163
256,0,0.040205,0.100743,0.038238,0.466833,0.353981
257,0.021059,0,0.207649,0.000448,0.363271,0.407574
258,0.039441,0.196211,0,0.018512,0.259422,0.486414
259,0.035811,0,0.297794,0.069986,0.454426,0.141983
260,0,0.034562,0.062368,0.232241,0.08838,0.582449
261,0.087871,0.241937,0,0.069103,0.383326,0.217763
262,0.000662,0.054107,0.326551,0,0.278868,0.339812
263,0.014972,0.114289,0,0.101871,0.0001,0.768768
264,0.07972,0,0.301079,0.170168,0.386537,0.062497
265,0.160233,0.05856,0.025113,0,0.188863,0.567232
266,0,0.1342,0.000198,0.144197,0.00023,0.721175
267,0.286772,0.255718,0.201631,0.000014,0.255865,0
268,0.217692,0.228497,0.277547,0,0.135001,0.141263
269,0.092785,0,0.037278,0.103103,0.405922,0.360912
270,0.066585,0,0.13715,0.476436,0.128761,0.191069
271,0.216456,0.19566,0.30756,0.107318,0.173005,0
272,0.000024,0,0.030865,0.092374,0.553665,0.323073
273,0.154206,0.076451,0.338326,0.020178,0.410838,0
274,0.176882,0.218184,0.293754,0,0.228281,0.082899
275,0.000013,0,0.000042,0.888088,0.000046,0.111811
276,0.353808,0.184732,0.106212,0,0.354437,0.00081
277,0.146467,0,0.126196,0.508144,0.033006,0.186188
278,0.084454,0,0.230122,0.170347,0.28363,0.231447
279,0.175608,0.010438,0.316318,0,0.37549,0.122146
280,0.227264,0.231314,0.299438,0,0.197324,0.044661
281,0.065797,0,0.292879,0.010818,0.553262,0.077244
282,0,0.076947,0.272379,0.116392,0.355267,0.179015
283,0.131554,0.047154,0.105052,0,0.587283,0.128958
284,0.168293,0.062461,0.037991,0.369201,0.362054,0
285,0.000065,0,0.000202,0.666293,0.000222,0.333218
286,0,0.133124,0.122414,0.10388,0.586268,0.054314
287,0.05906,0,0.192887,0.27679,0.216558,0.254706
288,0,0.0026,0.126811,0.287699,0.38532,0.19757
289,0.004059,0,0.14736,0.266938,0.439583,0.14206
290,0,0.023261,0.145202,0.484138,0.152013,0.195387
291,0.020883,0,0.070752,0.317834,0.444812,0.145719
292,0.198546,0.242949,0.191321,0,0.197339,0.169845
293,0.298085,0.018984,0.298193,0,0.365545,0.019193
294,0,0.096075,0.125521,0.457531,0.084315,0.236559
295,0,0.004849,0.149142,0.043772,0.306376,0.495862
296,0.031162,0,0.11,0.677185,0.05283,0.128824
297,0.276345,0.164827,0.267594,0,0.136022,0.155212
298,0.025193,0,0.600479,0.050076,0.220795,0.103457
299,0.337635,0.13286,0.156855,0,0.288694,0.083955
300,0.198361,0.2427,0.191412,0,0.197489,0.170037
301,0.070566,0,0.087171,0.26758,0.288552,0.286131
302,0.262278,0.013041,0.410522,0,0.125164,0.188994
303,0,0.060327,0.003377,0.166687,0.367083,0.402525
304,0.210118,0.141177,0.197507,0,0.2879,0.163298
305,0.010437,0,0.045281,0.742585,0.154297,0.0474
306,0.05906,0,0.192887,0.27679,0.216558,0.254706
307,0.227588,0.094049,0.206173,0,0.309244,0.162945
308,0.153425,0.029811,0,0.323705,0.418319,0.07474
309,0.07089,0.0504,0.751969,0,0.114502,0.012238
310,0.002455,0.016023,0.015054,0.564771,0.401697,0
311,0.05906,0,0.192887,0.27679,0.216558,0.254706
312,0.091831,0,0.008268,0.470021,0.092297,0.337583
